department,type,week,workers,calls,sales,returns,pending_order,online_order
home,bedding,1,5,10,3461,5,4,3
home,bedding,2,4,5,4576,8,6,2
home,bedding,3,5,8,3674,9,9,6
home,bedding,4,6,1,8654,3,2,1
home,Bath,1,3,4,462,2,9,20
home,Bath,2,2,5,8743,0,12,10
home,Bath,3,4,6,3456,3,3,23
home,Bath,4,2,2,2341,9,8,34
clothing,Men,1,11,20,98763,10,10,30
clothing,Men,2,9,9,9256,31,9,43
clothing,Men,3,12,12,87653,6,12,23
clothing,Men,4,8,3,9246,12,5,19
clothing,Women,1,9,10,5467,20,5,10
clothing,Women,2,7,8,4578,35,4,23
clothing,Women,3,9,11,3985,10,7,21
clothing,Women,4,6,4,3459,26,9,15
